"Now Shopping by","تسوق الآن من"
"Conversion Value Type","نوع قيمة التحويل"
"Conversion Value","قيمة التحويل"
"Account Activity","نشاط الحساب"
"All other open sessions for this account were terminated.","تم إنهاء كافة جلسات العمل المفتوحة الأخرى لهذا الحساب."
"We couldn't logout because of an error.","لم أستطع الخروج بسبب حدوث خطأ."
"Someone logged into this account from another device or browser. Your current session is terminated.","شخص قام بتسجيل الدخول إلى هذا الحساب من جهاز آخر أو المستعرض. تم إنهاء جلسة العمل الحالية الخاصة بك."
"Your current session is terminated by another user of this account.","تم إنهاء جلسة العمل الحالية الخاصة بك من قبل مستخدم آخر لهذا الحساب."
"Your account is temporarily disabled.","حسابك معطل مؤقتاً."
"Your current session has been expired.","انتهت مدة صلاحية جلسة العمل الحالية الخاصة بك."
"By IP and Email","بواسطة ال IP والبريد الإلكتروني"
"By IP","عبر IP"
"By Email","عبر البريد الإلكتروني"
"Too many password reset requests. Please wait and try again or contact %1.","لقد تعديت الحد الأقصى من طلبات إعادة تعيين كلمة المرور. الرجاء الانتظار والمحاولة مرة أخرى أو مراسلة %1."
"IP Address","عنوان الملكية الفكرية"
"Time of session start","وقت بدء الدورة"
"Read Product Price","قرائة سعر المنتج"
"Edit Product Price","تعديل سعر المنتج"
"Edit Product Status","تعديل حالة المنتج"
"Default Product Price","سعر المنتج الافتراضي"
"Defines the default product price","يحدد سعر المنتج الافتراضي"
"Unable to save address. Please check input data.","غير قادر على حفظ العنوان. الرجاء التحقق من إدخال البيانات."
"Cart %1 doesn't contain products","السلة %1 لا تحتوي على منتجات"
"Could not apply coupon code","لا يمكن تطبيق رمز قسيمة الخصم"
"Coupon code is not valid","رمز قسيمة الخصم غير صالحة"
"Could not delete coupon code","تعذر حذف رمز قسيمة الخصم"
"Cannot assign customer to the given cart. You don't have permission for this operation.","لا يمكن تعيين العميل إلى سلة معينة. ليس لديك الإذن لتنفيذ هذه العملية."
"Shipping address is not set","لم يتم تعيين عنوان الشحن"
"The requested Payment Method is not available.","طريقة الدفع المطلوبة غير متوفره."
"We found an invalid request for adding product to quote.","يوجد طلب غير صحيح في مواد العرض."
"The address model is not defined.","لم يتم تعريف نموذج العنوان."
"Shipping & Handling (%1)","الشحن و التوصيل (%1)"
"Cart %1 does not contain item %2","السلة %1 لا تحتوي على المنتج %2"
"Cart %1 doesn't contain item  %2","السلة %1 لا تحتوي على المنتج %2"
"Minimum order amount is %1","الحد الأدنى للطلب هو %1"
"Invalid customer id %1","%1 معرف عميل غير صالح"
"Invalid address id %1","%1 معرف عنوان غير صالح"
"Cannot create quote","لا يمكن إنشاء عرض أسعار"
"Cannot assign customer to the given cart. The cart belongs to different store.","لا يمكن تعيين العميل إلى سلة معينة. العربة ينتمي إلى متجر آخر."
"Cannot assign customer to the given cart. The cart is not anonymous.","لا يمكن تعيين العميل إلى سلة معينة. العربة ليست مجهولة المصدر."
"This item price or quantity is not valid for checkout.","سعر هذا الصنف أو الكمية غير صالحة للقيام بمتابعة عملية الشراء."
"Please check the shipping address information. %1","يرجى التحقق من المعلومات عنوان الشحن. %1"
"Please check the billing address information. %1","يرجى التحقق من معلومات عنوان الشحن. %1"
"Please select a valid payment method.","الرجاء إختيار طريقة دفع سليمة."
"Store Credit","نقاط المتجر"
"Cart contains virtual product(s) only. Shipping address is not applicable.","سلة المشتريات تحتوي على منتج/منتجات الكترونية فقط. لا داعي لعنوان الشحن."
"Shipping address not set.","لم يتم تعيين عنوان الشحن."
"Cannot set shipping method. %1","لا يمكن تعيين طريقة الشحن. %1"
"Shipping method is not applicable for empty cart","أسلوب الشحن غير قابل للتطبيق لعربة فارغة"
"Cart contains virtual product(s) only. Shipping method is not applicable.","سلة المشتريات تحتوي على منتج/منتجات الكترونية فقط. لا داعي لطريقة الشحن."
error345,"خطأ ٣٤٥"
Carts,"عربات الشراء"
"Manage carts","إدارة عربات التسوق"
"Unable to save address. Please, check input data.","غير قادر على حفظ العنوان. الرجاء التحقق من إدخال البيانات."
"Carrier with such method not found: %1, %2","لم يتم العثور على ناقل بمثل هذه الطريقة: %1، %2"
error123,"خطأ ١٢٣"
"No New Relic Application ID configured, cannot continue with Cron Event reporting","No New Relic Application ID configured, cannot continue with Cron Event reporting
"
"The New Relic integration requires the newrelic-php5 agent, which is not installed. More 
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.","يتطلب إدماج ""بقايا الجديدة"" وكيل نيوريليك--php5، التي لم تثبت. يتوفر مزيد من المعلومات حول تثبيت الوكيل <a target=""_blank"" href=""%1""> هنا</a>."
"New Relic Reporting Section","قسم جديد للإبلاغ"
"New Relic Reporting","قسم جديد للإبلاغ"
"Enable New Relic Integration","تمكين التكامل بقايا الجديد"
"New Relic API URL","New Relic API رابط"
"Insights API URL","رؤى API URL"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","\" هل تحتاج الى حساب نيو ريليك؟ <a href=\"http://www.newrelic.com/magento\" target=\"_blank\"> اضغط هنا لتحصل على واحد"
"To see product price, add this item to your cart. You can always remove it later.","لمعرفة سعر المنتج، اضف هذا العنصر إلى سلة التسوق. يمكنك دائماً إزالته في وقت لاحق."
"See price before order confirmation.","انظر السعر قبل تأكيد الطلب."
"On Gesture",إيماء
"In Cart","في سلة التسوق"
"Before Order Confirmation","قبل تأكيد الطلب"
"Use config","استخدام التكوين"
"Click for price","اضغط هنا للأسعار"
"Order total will be displayed before you submit the order","سيتم عرض ترتيب الطلب قبل إرسال الأمر"
"You will see the order total before you submit the order.","سوف تشاهد إجمالي الطلبية قبل إرسالها بالترتيب."
"Actual Price","السعر الفعلي"
"Minimum Advertised Price","أدنى الأسعار المعلن عنها"
"Enable MAP","تمكين MAP"
"Display Actual Price","عرض السعر الفعلي"
"Default Popup Text Message","الرسالة النصية المنبثقة الافتراضية"
"Default ""What's This"" Text Message","الافتراضي ""ما هو هذا"" رسالة نصية"
"All Stores","جميع المتاجر"
"A total of %1 record(s) were deleted.","تم حذف %1 من السجلات."
"Something went wrong while processing the request.","حدث خطأ أثناء معالجة الطلب."
Exception,استثناء
"General Settings","إعدادات عامة"
"Edit Configurations","تعديل الإعدادات"
Fixed,ثابت
"Expand All","عرض الكل"
"Collapse All","طوي الكل"
Assigned,المحال
Catalog,"دليل المنتجات"
"Delete items","حذف عناصر"
"Tax Class","الشريحة الضريبة"
"Add Price","إضافة الأسعار"
"You can't send messages more than %1 times an hour.","لا يمكنك إرسال رسائل أكثر من %1 مرة في الساعة."
"The link to a friend was sent.","تم إرسال الرابط لصديق."
"We found some problems with the data.","وجدنا بعض المشاكل مع البيانات."
"Some emails were not sent.","لم ترسل بعض رسائل البريد الإلكتروني."
"You've met your limit of %1 sends in an hour.","قد وصلت الحد الخاص بك لإرسال %1 في ساعة واحدة."
"Please enter a sender name.","يرجى ادخال اسم الراسل."
"Invalid Sender Email","بريد الراسل غير صحيح"
"Please enter a message.","الرجاء إدخال رسالة."
"Please specify at least one recipient.","الرجاء تحديد مستلم واحد على الأقل."
"Please enter a correct recipient email address.","الرجاء إدخال عنوان بريد إلكتروني صحيح."
"Please define a correct product instance.","الرجاء تعريف مثيل صحيح للمنتج."
"Invalid Sender Information","معلومات المرسل غير صالحة"
"Please define the correct sender information.","الرجاء تحديد معلومات المرسل الصحيحة."
"Cookie (unsafe)","ملف تعريف الارتباط (غير أمن)"
"No Product Exception.","لا يوجد استثناء للمنتج."
"Localized Exception.","استثناء المنطقة."
Exception.,استثناء.
"Maximum %1 email addresses allowed.","الحد الاقصى %1 السماح لعنوان البريد الالكتروني."
"Email Templates","قوالب البريد الإلكتروني"
"Allow for Guests","السماح للزوار"
"Max Recipients","اقصى عدد للمستقبلين"
"Max Products Sent in 1 Hour","اقصى عدد للمنتجات يمكن ارسالة بالساعة"
"Limit Sending By","حدد الارسال بـ"
"Message has been rejected: %1","تم رفض الرسالة: %1"
"MySQL Message Queue Cleanup","تنظيف قائمة انتظار MySQL"
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","كل الأوقات بالدقائق. استخدام ""0"" إذا كنت ترغب في تخطي الإزالة التلقائية."
"Retry Messages In Progress After","محاولة الرسائل في التقدم بعد"
"Successful Messages Lifetime","رسائل النجاح مدى الحياة"
"Failed Messages Lifetime","عمر الرسائل التي فشل إرسالها"
"New Messages Lifetime","عمر الرسائل الجديدة"
"MySQL Message Queue Cleanup - all the times are in minutes. Use ""0"" if you want to skip automatic clearance","تنظيف قائمة انتظار الرسالة الخلية-جميع الأوقات في دقائق. استخدام ""0"" إذا كنت ترغب في تخطي الإزالة التلقائية"
"Terms and Conditions","الشروط والأحكام"
"Add New Condition","إضافة شرط جديد"
"Save Condition","حفظ الشرط"
"Delete Condition","حذف حالة"
"Edit Terms and Conditions","تعديل شروط الإستخدام"
"New Terms and Conditions","البنود والشروط الجديدة"
"Terms and Conditions Information","الشروط والأحكام معلومات"
"Condition Name","اسم الشرط"
"Show Content as","إظهار المحتوى كـ"
HTML,"لغة النص التشعبي"
Applied,مطبق
"Checkbox Text","نص مربع خانة الاختيار"
"Content Height (css)","ارتفاع محتوى (css)"
"Content Height","ارتفاع المحتوى"
"Checkout Conditions","شروط الشراء"
"Checkout Terms and Conditions","أحكام وقواعد الشراء"
"This condition no longer exists.","هذا الشرط لم يعد موجودا."
"You deleted the condition.","لقد حذفت الشرط."
"Something went wrong  while deleting this condition.","حدث خطأ أثناء حذف هذا الشرط."
"Edit Condition","تعديل الشرط"
"New Condition","حالة جديدة"
"You saved the condition.","تم حفظ الحالة."
"Something went wrong while saving this condition.","حدث خطأ أثناء حفظ هذا الشرط."
Automatically,تلقائياً
Manually,يدوياً
"Unable to save checkout agreement %1","غير قادر على حفظ إتفاقية الدفع %1"
"Unable to remove checkout agreement %1","غير قادر على إزالة إتفاقية الدفع %1"
"Checkout agreement with specified ID ""%1"" not found.","إتفاقية الدفع بالمعرفـ ""%1"" لم يتم العثور عليها."
"Terms & Conditions","الشروط والأحكام"
"Enable Terms and Conditions","تمكين الشروط والأحكام"
"Please specify a finance information website.","الرجاء تحديد موقع معلومات مالية."
"Please specify a valid finance information website.","الرجاء تحديد موقع معلومات مالية."
"A row with this email, website, and finance website combination already exists.","صف واحد مع هذا البريد الإلكتروني وموقع على شبكة الإنترنت، والتمويل الموقع تركيبة الفعل موجود."
"Data was imported by %1","تم استيراد البيانات من %1"
"Reward Points","نقاط المكافأة"
"Cannot switch into given mode ""%1""","لا يمكن التبديل إلى وضع معين ""%1"""
Integrations,الدمج
"Add New Integration","دمج جديد"
API,"واجهة برمجة التطبيقات (API)"
"Save & Activate","حفظ و تفعيل"
"New Integration","دمج جديد"
"Edit Integration '%1'","تعديل الدمج '%1'"
"Integration Info","معلومات الدمج"
"Callback URL","عنوان رد الاتصال"
"Current User Identity Verification","التحقق من هوية المستخدم الحالية"
"Your Password","كلمة المرور الخاصة بك"
"Basic Settings","الإعدادات الأساسية"
"Consumer Key","مفتاح المستهلك"
"Consumer Secret","سر المستهلك"
Activate,تفعيل
Reauthorize,"إعادة اذن"
"The integration '%1' has been deleted.","لقد تم حذف التكامل '%1'."
"The integration '%1' has been saved.","لقد تم حفظ الإندماج '%1'."
"You did not sign in correctly or your account is temporarily disabled.","لم تقم بتسجيل الدخول بشكل صحيح أو أن حسابك معطل مؤقتاً."
"Integration with name '%1' exists.","الإندماج بإسم '%1' موجود."
"Integration with ID '%1' does not exist.","الإندماج مع معرف '%1' غير موجود."
"Consumer with ID '%1' does not exist.","المستهلك مع معرف '%1' غير موجود."
"You have entered an invalid password for current user.","لقد قمت بإدخال كلمة مرور غير صالحة للمستخدم الحالي."
"No permissions requested","لا توجد أذونات طلب"
"Available APIs","واجهات برمجة التطبيقات المتاحة"
"Resource Access","دخول المصدر"
Resources,مصادر
"Sorry, something went wrong. Please try again later.","آسف، حدث خطأ ما. الرجاء المحاولة مرة أخرى لاحقاً."
Extensions,تحويلات
"Integrations API Configuration","تكوين التكامل API"
"Integration configuration file.","ملف تكوين الإندماج."
"Integrations API configuration file.","ملف تكوين الإندماج API."
"No Integrations Found","لايوجد إندماجات"
"We will disable this feature if the value is empty.","سوف نقوم بتعطيل هذه الميزة إذا كانت القيمة فارغة."
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","عدد صحيح. بدء التنظيف في طلبات X OAuth. 0 (غير مستحسن)-لتعطيل التنظيف"
"Cleanup entries older than X minutes.","تنظيف إدخالات أقدم من X دقيقة."
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","مفتاح المستهلك /السري سينتهي إذا لم يستخدم خلال X ثانية بعدما يبدأ رمز Oauth بالتبادل."
"Number of maximum redirects for OAuth consumer credentials Post request.","عدد عمليات إعادة التوجيه الحد الأقصى لمستهلك OAuth لتفويض الممثلين طلب Post."
"Timeout for OAuth consumer credentials Post request within X seconds.","مهلة المستهلك OAuth تفويض الممثلين لطلب Post خلال X ثانية."
"We can't specify a product.","لا يمكن تحديد منتج."
"We can't configure the product right now.","لا يمكن إعداد المنتج الآن."
"Invalid item option format.","تنسيق خيار المنتج غير صحيح."
"Cannot specify product.","لا يمكن تحديد المنتج."
px.,بكسل.
items,قطع
item,قطعة
"Edit item","تعديل المنتج"
Move,إنقل
"We don't have as many ""%1"" as you requested.","ليس لدينا العديد من ""%1"" كما طلبت."
"We cannot retrieve the payment method model object.","لا يمكن استرداد نمذج طريقة الدفع."
"We cannot retrieve the payment info model object.","لا يمكن استرداد نمذج طريقة الدفع."
"Switch/Solo/Maestro Issue Number","رمز التبديل/سولو/مايسترو العدد"
"We cannot retrieve the transparent payment method model object.","لا يمكن استرداد نمذج طريقة الدفع."
"Command %1 does not exist.","%1 أمر غير موجود."
"All Allowed Countries","يسمح لجميع البلدان"
"Specific Countries","بلدان مخصصة"
"You can't use the payment type you selected to make payments to the billing country.","لا يمكنك استخدام نوع الدفع الذي حددته لدفع مبالغ للبلد الذي اخترته."
"The credit card number doesn't match the credit card type.","رقم بطاقة الائتمان لا يتطابق مع نوع بطاقة الائتمان."
"Please enter a valid credit card verification number.","الرجاء إدخال رقم بطاقة ائتمان صالح للتحقق."
"Please enter a valid credit card expiration date.","الرجاء إدخال تاريخ انتهاء صلاحية بطاقة الائتمان بشكل صحيح."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 الكلاس لاينفذ \Magento\Payment\Model\MethodInterface"
"We'll ask for your payment details before you place an order.","سوف نسأل عن تفاصيل الدفع الخاصة بك قبل أن تقوم بوضع طلب."
"Forgot an Item?","مسح منتج؟"
"Edit Your Cart","تعديل سلة التسوق"
"Please enter a valid credit card type number.","الرجاء إدخال نوع رقم بطاقة ائتمان بشكل صحيح."
"Payment Methods","نظم الدفع"
"Save Currency Rates","حفظ أسعار العملات"
"Manage Currency Rates","إدارة أسعار العملات"
"Import Service","خدمة الاستيراد"
"Save Currency Symbols","حفظ رموز العملات"
"Currency Symbols","رمز العملة"
"Use Standard","استخدام معيار"
"Please specify a correct Import Service.","الرجاء تحديد ""خدمة الاستيراد"" الصحيحة."
"We can't initialize the import model.","لا يمكن تهيئة نموذج الإستيراد."
"Click ""Save"" to apply the rates we found.","انقر فوق ""حفظ"" لتطبيق المعدلات التي وجدناها."
"Currency Rates","أسعار العملات"
"Please correct the input data for ""%1 => %2"" rate.","الرجاء تصحيح البيانات المدخلة ل %1 => معدل %2."
"All valid rates have been saved.","تم حفظ كل الأسعار الصحيحة."
"You applied the custom currency symbols.","قمت بتطبيق رموز العملة المخصصة."
"You must first configure currency options before being able to see currency rates.","يجب عليك أولاً تكوين خيارات العملة قبل التمكن من معرفة أسعار العملات."
"Old rate:","معدل العمر:"
"Please correct the input data for %1 => %2 rate","الرجاء تصحيح البيانات المدخلة ل %1 => معدل %2"
"File directory '%1' is not readable.","دليل الملف '%1' غير قابل للقراءة."
"File directory '%1' is not writable.","مكان الملف '%1' غير قابل للكتابة."
"Catalog Advanced Search","بحث متقدم فى الكتالوج"
Results,نتائج
"Advanced Search Results","نتائج البحث المتقدم"
Grid,الشبكة
List,قائمة
"Search Weight","ابحث في الوزن"
Relevance,الصله
"Search results for: '%1'","نتائج البحث عن: '%1'"
"Minimum Search query length is %1","الحد الأدنى لطول استعلام البحث هو %1"
"Please specify at least one search term.","الرجاء تحديد مصطلح بحث واحد على الأقل."
"%1 and greater","%1 وأكبر"
"up to %1","حتى %1"
". "" which is inconsistent with state of scope resolver""",". ""وهو لا يتفق مع حالة محلل النطاق"""
Category,القسم
"%1 and above","%1 واكثر"
"%1 - %2",%1-%2
"Bucket does not exist","لم يتم إنشاء حاوية"
"Search Settings","اعدادات البحث"
"Advanced Search","بحث متقدم"
"<strong>%1 item</strong> were found using the following search criteria","تم العثور على <strong>العنصر%1</strong> باستخدام معايير البحث التالية"
"<strong>%1 items</strong> were found using the following search criteria","تم العثور على <strong>العناصر%1</strong> باستخدام معايير البحث التالية"
"We can't find any items matching these search criteria.","لا يوجد عناصر تطابق معايير البحث هذه."
"Modify your search.","تعديل البحث الخاص بك."
"Don't see what you're looking for?","لا أرى ما كنت تبحث عن؟"
"Catalog Section","قسم الكتالوج"
"Catalog Search","دليل المنتجات و البحث"
"Popular Search Terms","كلمات البحث الشائعة"
"Minimal Query Length","طول الحد الأدنى للاستعلام"
"Maximum Query Length","طول الحد الأقصى للاستعلام"
"Rebuild Catalog product fulltext search index","إعادة إنشاء فهرس البحث عن النص الكامل لدليل المنتج"
"Bucket do not exists","الدلو غير موجود"
"Modify your search","تعديل البحث"
"Please enter a valid price range.","الرجاء إدخال نطاق سعر صالح."
"Use All Available Attributes","استخدام كافة السمات المتاحة"
Position,موقع
"Add Subcategory","قسم فرعي جديد"
"Add Root Category","اضف قسم رئيسي"
Day,يوم
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>من</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>إلى</span></label>"
"WYSIWYG Editor","محرر WYSIWYG"
"Add Product","اضف منتج"
"Product Attributes","سمات المنتج"
"Add New Attribute","اضافة سمة جديدة"
"Save Attribute","حفظ السمات"
"Save in New Attribute Set","حفظ في مجموعة سمة جديدة"
"Enter Name for New Attribute Set","قم بإدخال اسم لمجموعة سمة جديدة"
"Edit Product Attribute ""%1""","تعديل سمة المنتج ""%1"""
"New Product Attribute","سمة منتج جديد"
"Advanced Attribute Properties","خصائص السمة المتقدمة"
"Add to Column Options","إضافة إلى خيارات الأعمدة"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","اختر ""نعم"" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل."
"Use in Filter Options","استخدام خيارات التصفية"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","اختر ""نعم"" لإضافة هذه السمة إلى قائمة خيارات العمود في شبكة العميل."
Global,عالمي
"Declare attribute value saving scope.","إعلان قيمة السمة لتوفير النطاق."
"Use in Search","استخدام في البحث"
"Visible in Advanced Search","مرئية في البحث المتقدم"
"Comparable on Storefront","قابلة للمقارنة في الواجهة"
"Use for Promo Rule Conditions","يستخدم لشروط قواعد العروض الترويجية"
"Enable WYSIWYG","تفعيل WYSIWYG"
"Allow HTML Tags on Storefront","السماح بـ HTML في واجهة المتجر"
"Visible on Catalog Pages on Storefront","مرئية على صفحات الكتالوج على الواجهة"
"Used in Product Listing","المستخدمة في قائمة المنتجات"
"Depends on design theme.","يعتمد على تصميم المظهر."
"Used for Sorting in Product Listing","يستخدم لفرز في قائمة المنتجات"
"Media Image","صور وسائل الاعلام"
Gallery,البوم
"System Properties","خصائص النظام"
"Data Type for Saving in Database","نوع البيان للحفظ في قاعدة البيانات"
Static,ساكنة
Datetime,"وقت التاريخ"
Decimal,عشري
Integer,"رقم صحيح"
"Globally Editable","تعديل عام"
"Attribute Information","معلومات السمة"
Properties,خصائص
"Manage Labels","إدارة التسميات"
Visible,ظاهر
"Web Site",موقع
Searchable,"امكانية البحث"
Comparable,"قابل للمقارنه"
"Delete Selected Group","حذف المجموعة المختارة"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","أنت على وشك حذف كافة المنتجات في تعيين هذه السمة. هل أنت متأكد من أنك تريد القيام بذلك؟"
"New Set Name","اسم المجموعة الجديدة"
"Edit Attribute Set '%1'","تعديل مجموعة السمات '%1'"
Empty,فارغ
"Add New Group","اضف مجموعة جديدة"
"Add Group","اضافة مجموعة"
"Edit Attribute Set Name","تعديل اسم مجموعة السمات"
"For internal use","للاستخدام الداخلي"
"Based On","اعتمادا على"
"Add New Attribute Set","اضف مجموعة سمات جديد"
"Add Attribute Set","إضافة تعيين السمة"
"Attribute Sets","مجموعة السمة"
"Close Window","أغلق النافذه"
"New Product","منتج جديد"
"Save & Edit","حفظ ومواصلة التعديل"
"Save & New","حفظ و جديد"
"Save & Duplicate","حفظ & انشاء نسخة"
"Save & Close","حفظ وإغلاق"
Change,تغير
"Products Information","معلومات المنتجات"
"Create Category","إنشاء قسم جديد"
"Parent Category","القسم الرئيسي"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","إذا كان لايوجد هناك فئات أصل مخصصة، الرجاء استخدام فئة الأصل الافتراضي. '' يمكنك تعيين الفئة في أي وقت في '' <a href=""%1"" target=""_blank""> منتجات > الفئات</a>."
"Price Alert Subscriptions","اشتراكات تغيير السعر"
"Stock Alert Subscriptions","اشتراكات تنبيه الأسهم"
"There are no customers for this alert.","لا يوجد عملاء لهذا التنبيه."
"Subscribe Date","اشترك في التاريخ"
"Last Notified","آخر إشعار"
"Send Count","ارسال عدد"
"Import Options","خيارات الاستيراد"
"Add New Row","إضافة صف جديد"
"Delete Row","حذف صف"
"Default Price","سعر افتراضي"
"ALL GROUPS","جميع المجموعات"
"Default Values","القيم الافتراضية"
"Related Products","منتجات ذات الصلة"
Up-sells,"حتى يبيع"
Cross-sells,"عبر المبيعات"
"Size for %1","حجم الى %1"
"Watermark File for %1","ملف علامة مائية ل %1"
"Position of Watermark for %1","موضع علامة مائية ل %1"
"Name in %1","اسم في %1"
"Change Status","تغيير الحالة"
"Update Attributes","تحديث السمات"
"start typing to search category","ابدأ الكتابة للبحث في الفئة"
"New Category","قسم جديد"
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)"
"Add New Images","اضف صور جديدة"
"Inc. Tax","شامل الضريبة"
"Does this have a weight?","هل هذا له وزن؟"
"Notify Low Stock RSS","اخطار لانخفاض المخزونRSS"
"Low Stock Products","منتجات الأسهم منخفضة"
"%1 has reached a quantity of %2.","%1 وصلت الى كمية من %2."
"Subscribe to RSS Feed","اشتراك لتغذية ال RSS "
"Products Comparison List","قائمة مقارنة المنتجات"
AM,صباحا
PM,مساء
"New Products from %1","منتجات جديدة من %1"
"New Products","المنتجات الجديدة"
"%1 - Special Products","%1 - منتجات بسعر خاص خاصة"
"Special Expires On: %1","الخاص ينتهي في: %1"
"Price: %1","السعر: %1"
"Special Price: %1","السعر الخاص: %1"
"Special Products","منتجات خاصة"
"Manage Catalog Categories","ادارة اقسام دليل المنتجات"
"Manage Categories","ادارة الفئات"
"You deleted the category.","لقد قمت بحذف القسم."
"Something went wrong while trying to delete the category.","حدث خطأ أثناء محاولة حذف القسم."
"Category is not available for requested store.","القسم غير متاح للمتجر المطلوب."
"There was a category move error.","كان هناك خطأ في نقل الفئة %1."
"You moved the category.","لقد قمت بنقل القسم."
"You saved the category.","لقد قمت بحفظ القسم."
"Something went wrong while saving the category.","حدث خطأ أثناء حفظ القسم."
"Please select products for attributes update.","الرجاء اختيار المنتجات للصفات المحدثة."
"Please make sure to define SKU values for all processed products.","الرجاء التأكد من تحديد قيم SKU لجميع المنتجات المجهزة."
"A total of %1 record(s) were updated.","عدد %1 سجلات تم تحديثها."
"Something went wrong while updating the product(s) attributes.","حدث خطأ أثناء تحديث سمات المنتج (المنتجات)."
"Unable to add attribute","غير قادر على إضافة سمة"
"Please, specify attributes","من فضلك، حدد سمات"
"Manage Product Attributes","ادارة منتج السمات"
"We can't delete the attribute.","لا نستطيع حذف السمة."
"You deleted the product attribute.","لقد حذفت سمة هذا المنتج."
"We can't find an attribute to delete.","لا يمكن أن نجد سمة لحذفها."
"This attribute no longer exists.","هذه السمات لم تعد موجوده."
"This attribute cannot be edited.","لا يمكن تعديل هذه السمة."
"Edit Product Attribute","اضافة سمة المنتج"
"An attribute set named '%1' already exists.","السمة بهذا الإسم '%1' موجودة بالفعل."
"Something went wrong while saving the attribute.","حدث خطأ أثناء حفظ السمة."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","رمز السمة ""%1"" غير صحيح. الرجاء استخدام أحرف فقط من (أ-ي)، '' أرقام من (0-9) أو (_) في هذا الحقل، يجب أن يكون الحرف الأول حرف."
"We can't update the attribute.","لا يمكن أن نقوم بتحديث السمة."
"You saved the product attribute.","يمكنك حفظ السمة المنتج."
"An attribute with this code already exists.","سمة بهذا الكود موجودة سابقا."
"An attribute with the same code (%1) already exists.","السمة مع نفس الكود (%1) موجودة بالفعل."
"The value of Admin must be unique.","يجب أن تكون قيمة Admin قيمة فريدة."
"The value of Admin scope can't be empty.","لا يمكن أن تكون قيمة نطاق المشرف فارغة."
"You duplicated the product.","تم تكرار هذا المنتج."
"This product doesn't exist.","هذا المنتج غير موجود."
"Invalid product id. Should be numeric value greater than 0","معرف المنتج غير صالح. يجب أن تكون القيمة الرقمية أكبر من 0"
"A group with the same name already exists.","مجموعة بنفس الاسم موجود مسبقاً."
"Something went wrong while saving this group.","حدث خطأ أثناء حفظ هذه المجموعة."
"A total of %1 record(s) have been updated.","عدد %1 سجلات تم تحديثها."
"Something went wrong while updating the product(s) status.","حدث خطأ أثناء تحديث حالة المنتج (المنتجات)."
"You saved the product.","قمت بحفظ المنتج."
"SKU for product %1 has been changed to %2.","تم تغيير وحدة SKU للمنتج %1 إلى %2."
"New Attribute Set","مجموعة سمات جديدة"
"The attribute set has been removed.","تمت إزالة تعيين السمة."
"We can't delete this set right now.","لا يمكن حذف هذه المجموعة الآن."
"New Set","مجموعة جديدة"
"Manage Product Sets","اوضاع ادارة المنتج"
"Manage Attribute Sets","ادارة مجموعات السمات"
"This attribute set no longer exists.","هذه السمة المحددة لم تعد موجودة."
"You saved the attribute set.","تم حفظ مجموعة السمات."
"Something went wrong while saving the attribute set.","حدث خطأ أثناء حفظ مجموعة السمات."
"You added product %1 to the comparison list.","لقد اضفت المنتج %1 لقائمة المقارنة."
"You cleared the comparison list.","تم افراغ قائمة المقارنة."
"Something went wrong  clearing the comparison list.","حدث خطأ، تم افراغ قائمة المقارنة."
"You removed product %1 from the comparison list.","لقد ازلت المنتج %1 من قائمة المقارنة."
"1 item","منتج ١"
"%1 items","%1 قطعة"
"Are you sure you want to remove this item from your Compare Products list?","هل أنت متأكد من أنك تريد إزالة هذا الصنف من قائمة مقارنة المنتجات؟"
"Are you sure you want to remove all items from your Compare Products list?","هل أنت متأكد من أنك تريد إزالة كافة الأصناف من قائمة مقارنة المنتجات؟"
"Invalid attribute %1","%1 سمة غير صالحة"
"Bad controller interface for showing product","خطأ في واجهة وحدة تحكم لعرض المنتج"
"Product is not loaded","لم يتم تحميل المنتج"
"Make sure the To Date is later than or the same as the From Date.","تأكد من ""أن التاريخ"" يتجاوز أو نفس ""من التاريخ""."
"Sorry, but we can't find the new parent category you selected.","عذراً، ولكن لا يمكن أن نجد الفئة الأصلية الجديد الذي حددته."
"Sorry, but we can't find the new category you selected.","عذراً، لكن لا يمكن أن نجد أن الفئة الجديدة التي قمت بتحديدها."
"We can't move the category because the parent category name matches the child category name.","لا يمكن نقل الفئة لتطابق اسم الفئة الأصلية اسم فئة فرعية."
